"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"benchmarks.S.cart_staged_init","avgt",1,20,5.629995,0.479776,"ms/op"
"benchmarks.S.cart_staged_init_fresh_compiler","avgt",1,20,38.211192,0.844674,"ms/op"
"benchmarks.S.cart_staged_macro","avgt",1,20,42.600037,0.027286,"ms/op"
"benchmarks.S.cart_staged_no_init","avgt",1,20,42.055538,0.019002,"ms/op"
"benchmarks.S.cart_staged_with_init","avgt",1,20,85.917635,1.101743,"ms/op"
"benchmarks.S.dotProduct_macro","avgt",1,20,4.377631,0.094335,"ms/op"
"benchmarks.S.dotProduct_staged_init","avgt",1,20,5.712264,0.455804,"ms/op"
"benchmarks.S.dotProduct_staged_init_fresh_compiler","avgt",1,20,40.321673,0.479248,"ms/op"
"benchmarks.S.dotProduct_staged_no_init","avgt",1,20,3.496536,0.033305,"ms/op"
"benchmarks.S.dotProduct_staged_with_init","avgt",1,20,17.834411,0.508724,"ms/op"
"benchmarks.S.flatMap_after_zip_macro","avgt",1,20,29.886439,0.107538,"ms/op"
"benchmarks.S.flatMap_after_zip_staged_init","avgt",1,20,6.559435,0.618574,"ms/op"
"benchmarks.S.flatMap_after_zip_staged_init_fresh_compiler","avgt",1,20,40.831863,0.523343,"ms/op"
"benchmarks.S.flatMap_after_zip_staged_no_init","avgt",1,20,29.839480,0.054664,"ms/op"
"benchmarks.S.flatMap_after_zip_staged_with_init","avgt",1,20,74.644301,0.922717,"ms/op"
"benchmarks.S.flatMap_take_macro","avgt",1,20,12.290335,0.774186,"ms/op"
"benchmarks.S.flatMap_take_staged_init","avgt",1,20,6.990874,0.569304,"ms/op"
"benchmarks.S.flatMap_take_staged_init_fresh_compiler","avgt",1,20,40.079272,1.272445,"ms/op"
"benchmarks.S.flatMap_take_staged_no_init","avgt",1,20,13.167034,0.660665,"ms/op"
"benchmarks.S.flatMap_take_staged_with_init","avgt",1,20,25.949647,0.716761,"ms/op"
"benchmarks.S.sumOfSquaresEven_macro","avgt",1,20,102.968886,21.816590,"ms/op"
"benchmarks.S.sumOfSquaresEven_staged_init","avgt",1,20,4.834022,0.390426,"ms/op"
"benchmarks.S.sumOfSquaresEven_staged_init_fresh_compiler","avgt",1,20,38.045735,1.450750,"ms/op"
"benchmarks.S.sumOfSquaresEven_staged_no_init","avgt",1,20,78.686860,1.023496,"ms/op"
"benchmarks.S.sumOfSquaresEven_staged_with_init","avgt",1,20,115.891294,1.534298,"ms/op"
"benchmarks.S.sumOfSquares_macro","avgt",1,20,37.384780,0.119305,"ms/op"
"benchmarks.S.sumOfSquares_staged_init","avgt",1,20,4.769771,0.460956,"ms/op"
"benchmarks.S.sumOfSquares_staged_init_fresh_compiler","avgt",1,20,35.394533,0.510607,"ms/op"
"benchmarks.S.sumOfSquares_staged_no_init","avgt",1,20,37.589517,0.151115,"ms/op"
"benchmarks.S.sumOfSquares_staged_with_init","avgt",1,20,83.426006,0.760318,"ms/op"
"benchmarks.S.sum_macro","avgt",1,20,34.888389,0.128134,"ms/op"
"benchmarks.S.sum_staged_init","avgt",1,20,4.757158,0.474933,"ms/op"
"benchmarks.S.sum_staged_init_fresh_compiler","avgt",1,20,36.167479,0.724290,"ms/op"
"benchmarks.S.sum_staged_no_init","avgt",1,20,34.975166,0.144619,"ms/op"
"benchmarks.S.sum_staged_with_init","avgt",1,20,61.192744,0.713662,"ms/op"
"benchmarks.S.zip_after_flatMap_macro","avgt",1,20,5.720826,0.028558,"ms/op"
"benchmarks.S.zip_after_flatMap_staged_init","avgt",1,20,6.094698,0.390698,"ms/op"
"benchmarks.S.zip_after_flatMap_staged_init_fresh_compiler","avgt",1,20,39.012158,1.263815,"ms/op"
"benchmarks.S.zip_after_flatMap_staged_no_init","avgt",1,20,5.194121,0.029525,"ms/op"
"benchmarks.S.zip_after_flatMap_staged_with_init","avgt",1,20,22.574673,0.693887,"ms/op"
"benchmarks.S.zip_flat_flat_macro","avgt",1,20,169.938065,25.589631,"ms/op"
"benchmarks.S.zip_flat_flat_staged_init","avgt",1,20,10.678337,0.784489,"ms/op"
"benchmarks.S.zip_flat_flat_staged_init_fresh_compiler","avgt",1,20,42.825330,1.258417,"ms/op"
"benchmarks.S.zip_flat_flat_staged_no_init","avgt",1,20,37.041607,0.036409,"ms/op"
"benchmarks.S.zip_flat_flat_staged_with_init","avgt",1,20,104.856802,1.545293,"ms/op"
